% CrIS April 2009 fast model
% by Scott Hannon/Larrabee Strow @ UMBC
%
% RMS and bias errors for the 48 training
% profiles at 5 angles each.
%    dBT = BT_truth - BT_fastmodel
%    RMS = sqrt(mean(dBT.^2))
%    bias = mean(dBT)
% No reflected thermal or solar radiance
% contributions. Standard/default trace gas
% amounts. 
%
% Units:
%    frequency in wavenumber
%    mean BT, RMS, and bias in Kelvin
%
% ID     freq    mean BT     RMS        bias
%----  --------  -------   ---------  ----------
  359   873.750  271.410   3.422E-03   3.023E-03
  360   874.375  271.392   3.607E-03  -3.224E-03
  361   875.000  271.417   3.430E-03   3.034E-03
  362   875.625  271.364   4.605E-03  -4.162E-03
  363   876.250  271.382   3.862E-03   3.425E-03
  364   876.875  271.371   4.253E-03  -3.821E-03
  365   877.500  271.226   3.758E-03   2.610E-03
  366   878.125  270.101   8.130E-03  -6.685E-03
  367   878.750  269.577   4.841E-03   2.764E-04
  368   879.375  270.780   1.186E-02  -5.711E-03
  369   880.000  271.350   3.728E-03   3.320E-03
  370   880.625  271.017   7.080E-03  -4.569E-03
  371   881.250  270.822   1.321E-03  -1.113E-04
  372   881.875  271.161   5.117E-03  -4.359E-03
  373   882.500  271.148   6.042E-03   3.298E-03
  374   883.125  270.542   7.976E-03  -6.629E-03
  375   883.750  269.909   5.097E-03   4.633E-04
  376   884.375  270.523   7.943E-03  -6.873E-03
  377   885.000  271.230   3.918E-03   3.481E-03
  378   885.625  271.265   4.478E-03  -3.967E-03
  379   886.250  270.973   1.726E-03   3.962E-04
  380   886.875  269.433   8.888E-03  -7.413E-03
  381   887.500  269.206   4.980E-03   3.857E-04
  382   888.125  270.323   8.405E-03  -7.123E-03
  383   888.750  270.456   4.412E-03   1.511E-03
  384   889.375  270.905   1.099E-02  -5.316E-03
  385   890.000  270.955   7.124E-03   3.112E-03
  386   890.625  270.970   8.764E-03  -4.738E-03
  387   891.250  270.860   2.623E-03   1.422E-03
  388   891.875  271.121   7.033E-03  -4.552E-03
  389   892.500  271.354   4.165E-03   3.724E-03
  390   893.125  271.413   9.569E-03   6.127E-03
  391   893.750  271.424   4.306E-03   3.559E-03
  392   894.375  271.446   9.302E-03   5.960E-03
  393   895.000  271.398   4.468E-03   3.886E-03
  394   895.625  271.290   2.982E-03  -1.735E-03
  395   896.250  271.229   4.620E-03   4.096E-03
  396   896.875  271.372   4.863E-03  -3.533E-03
  397   897.500  271.344   5.679E-03   3.755E-03
  398   898.125  271.390   5.558E-03  -3.929E-03
  399   898.750  271.521   4.662E-03   4.286E-03
  400   899.375  271.575   6.649E-03   3.801E-03
  401   900.000  271.578   4.606E-03   4.190E-03
  402   900.625  271.585   6.835E-03   3.942E-03
  403   901.250  271.594   4.620E-03   4.164E-03
  404   901.875  271.581   3.442E-03   8.321E-04
  405   902.500  271.551   4.872E-03   4.501E-03
  406   903.125  271.573   3.667E-03   1.327E-03
  407   903.750  271.565   4.798E-03   4.124E-03
  408   904.375  271.558   4.898E-03   2.348E-03
  409   905.000  271.478   4.852E-03   4.363E-03
  410   905.625  271.201   6.661E-03  -5.790E-03
  411   906.250  270.827   5.472E-03   2.915E-03
  412   906.875  271.099   6.946E-03  -5.755E-03
  413   907.500  271.346   6.184E-03   4.429E-03
  414   908.125  270.718   7.920E-03  -6.913E-03
  415   908.750  269.067   8.134E-03   1.777E-03
  416   909.375  269.498   1.013E-02  -7.504E-03
  417   910.000  270.873   8.542E-03   4.196E-03
  418   910.625  271.074   9.957E-03  -5.072E-03
  419   911.250  271.235   5.839E-03   4.445E-03
  420   911.875  271.224   5.076E-03  -4.457E-03
  421   912.500  271.255   1.090E-02   8.515E-03
  422   913.125  271.130   6.138E-03  -4.992E-03
  423   913.750  270.891   4.155E-03   3.359E-03
  424   914.375  270.883   1.030E-02  -5.555E-03
  425   915.000  271.164   5.676E-03   4.829E-03
  426   915.625  271.191   5.065E-03  -4.302E-03
  427   916.250  271.248   1.289E-02   1.039E-02
  428   916.875  271.226   4.863E-03  -4.113E-03
  429   917.500  271.242   5.651E-03   5.267E-03
  430   918.125  270.936   1.064E-02  -6.058E-03
  431   918.750  270.904   4.063E-03   3.349E-03
  432   919.375  271.112   6.588E-03  -5.457E-03
  433   920.000  271.234   6.194E-03   5.662E-03
  434   920.625  270.982   6.138E-03  -4.732E-03
  435   921.250  270.188   4.849E-03   3.496E-03
  436   921.875  269.198   1.109E-02  -8.108E-03
  437   922.500  269.438   6.587E-03   2.791E-03
  438   923.125  270.500   8.969E-03  -5.740E-03
  439   923.750  271.252   5.797E-03   5.335E-03
  440   924.375  270.726   9.367E-03  -8.564E-03
  441   925.000  269.859   5.149E-03   2.318E-03
  442   925.625  270.603   9.528E-03  -8.720E-03
  443   926.250  271.225   5.953E-03   5.603E-03
  444   926.875  271.144   4.262E-03  -3.729E-03
  445   927.500  271.176   6.296E-03   5.983E-03
  446   928.125  271.125   6.581E-03  -5.539E-03
  447   928.750  270.874   8.411E-03   5.661E-03
  448   929.375  270.954   7.518E-03  -5.337E-03
  449   930.000  271.202   6.343E-03   5.987E-03
  450   930.625  271.095   4.786E-03  -4.243E-03
  451   931.250  271.138   7.167E-03   6.649E-03
  452   931.875  271.332   5.713E-03  -4.930E-03
  453   932.500  271.313   7.196E-03   6.579E-03
  454   933.125  271.309   4.265E-03  -3.435E-03
  455   933.750  271.607   8.070E-03   7.406E-03
  456   934.375  271.531   4.828E-03  -4.155E-03
  457   935.000  271.461   7.374E-03   6.695E-03
  458   935.625  271.723   5.303E-03  -4.731E-03
  459   936.250  271.685   6.797E-03   6.298E-03
  460   936.875  271.460   6.464E-03  -5.118E-03
  461   937.500  271.763   7.138E-03   6.325E-03
  462   938.125  271.687   6.588E-03  -5.523E-03
  463   938.750  271.504   6.544E-03   5.549E-03
  464   939.375  271.797   6.324E-03  -5.477E-03
  465   940.000  271.681   7.407E-03   6.671E-03
  466   940.625  271.179   8.374E-03  -5.109E-03
  467   941.250  271.512   8.769E-03   6.283E-03
  468   941.875  271.561   5.617E-03  -3.963E-03
  469   942.500  271.416   7.025E-03   5.634E-03
  470   943.125  271.787   4.028E-03  -2.817E-03
  471   943.750  271.536   7.899E-03   6.590E-03
  472   944.375  271.129   7.323E-03  -1.409E-03
  473   945.000  271.516   9.280E-03   5.764E-03
  474   945.625  271.343   5.148E-03  -8.405E-04
  475   946.250  271.328   8.080E-03   6.394E-03
  476   946.875  271.642   3.171E-03  -1.350E-03
  477   947.500  270.645   5.708E-03   3.242E-03
  478   948.125  269.337   9.994E-03  -3.736E-03
  479   948.750  270.331   6.021E-03   2.014E-03
  480   949.375  271.097   5.772E-03   1.486E-04
  481   950.000  271.598   6.011E-03   4.919E-03
  482   950.625  271.653   4.771E-03   3.193E-03
  483   951.250  271.310   7.106E-03   5.094E-03
